,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Subtipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
34,2015,1,Aguascalientes,1001,Aguascalientes,Hostigamiento sexual,Hostigamiento sexual,1,1,0,1,1,0,1,0,0,1,0,3
132,2015,1,Aguascalientes,1002,Asientos,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
230,2015,1,Aguascalientes,1003,Calvillo,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
328,2015,1,Aguascalientes,1004,Cosío,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
426,2015,1,Aguascalientes,1005,Jesús María,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,1,0,0,0,0,0,0,0
524,2015,1,Aguascalientes,1006,Pabellón de Arteaga,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,1,0,0,0,0,0,0,0
622,2015,1,Aguascalientes,1007,Rincón de Romos,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
720,2015,1,Aguascalientes,1008,San José de Gracia,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
818,2015,1,Aguascalientes,1009,Tepezalá,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
916,2015,1,Aguascalientes,1010,El Llano,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
1014,2015,1,Aguascalientes,1011,San Francisco de los Romo,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
1112,2015,2,Baja California,2001,Ensenada,Hostigamiento sexual,Hostigamiento sexual,4,3,2,1,1,3,5,0,4,1,1,0
1210,2015,2,Baja California,2002,Mexicali,Hostigamiento sexual,Hostigamiento sexual,3,3,5,0,1,2,1,0,0,3,3,1
1308,2015,2,Baja California,2003,Tecate,Hostigamiento sexual,Hostigamiento sexual,1,0,1,0,0,0,0,1,0,0,0,0
1406,2015,2,Baja California,2004,Tijuana,Hostigamiento sexual,Hostigamiento sexual,4,4,7,4,4,9,3,6,4,3,6,4
1504,2015,2,Baja California,2005,Playas de Rosarito,Hostigamiento sexual,Hostigamiento sexual,0,1,0,0,2,0,0,0,2,1,0,1
1602,2015,3,Baja California Sur,3001,Comondú,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,1,0,0
1700,2015,3,Baja California Sur,3002,Mulegé,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,1,0,0,0,0,0,0
1798,2015,3,Baja California Sur,3003,La Paz,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,1,0,0,0,0,0
1896,2015,3,Baja California Sur,3008,Los Cabos,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,1,0,0,0,0,1,0
1994,2015,3,Baja California Sur,3009,Loreto,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
2092,2015,4,Campeche,4001,Calkiní,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
2190,2015,4,Campeche,4002,Campeche,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
2288,2015,4,Campeche,4003,Carmen,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
2386,2015,4,Campeche,4004,Champotón,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
2484,2015,4,Campeche,4005,Hecelchakán,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
2582,2015,4,Campeche,4006,Hopelchén,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
