,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Subtipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
81,2015,1,Aguascalientes,1001,Aguascalientes,Violencia familiar,Violencia familiar,18,36.0,24.0,24.0,28.0,28.0,35.0,38.0,47.0,53.0,40.0,39.0
179,2015,1,Aguascalientes,1002,Asientos,Violencia familiar,Violencia familiar,2,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
277,2015,1,Aguascalientes,1003,Calvillo,Violencia familiar,Violencia familiar,0,1.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0
375,2015,1,Aguascalientes,1004,Cosío,Violencia familiar,Violencia familiar,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,2015,1,Aguascalientes,1005,Jesús María,Violencia familiar,Violencia familiar,3,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0
571,2015,1,Aguascalientes,1006,Pabellón de Arteaga,Violencia familiar,Violencia familiar,2,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
669,2015,1,Aguascalientes,1007,Rincón de Romos,Violencia familiar,Violencia familiar,2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
767,2015,1,Aguascalientes,1008,San José de Gracia,Violencia familiar,Violencia familiar,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
865,2015,1,Aguascalientes,1009,Tepezalá,Violencia familiar,Violencia familiar,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
963,2015,1,Aguascalientes,1010,El Llano,Violencia familiar,Violencia familiar,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1061,2015,1,Aguascalientes,1011,San Francisco de los Romo,Violencia familiar,Violencia familiar,2,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0
1159,2015,2,Baja California,2001,Ensenada,Violencia familiar,Violencia familiar,35,36.0,33.0,39.0,31.0,34.0,30.0,36.0,26.0,46.0,40.0,21.0
1257,2015,2,Baja California,2002,Mexicali,Violencia familiar,Violencia familiar,163,193.0,256.0,252.0,241.0,254.0,273.0,257.0,236.0,226.0,192.0,152.0
1355,2015,2,Baja California,2003,Tecate,Violencia familiar,Violencia familiar,26,33.0,27.0,23.0,30.0,27.0,48.0,23.0,30.0,44.0,34.0,35.0
1453,2015,2,Baja California,2004,Tijuana,Violencia familiar,Violencia familiar,332,343.0,470.0,391.0,369.0,493.0,427.0,500.0,549.0,454.0,382.0,366.0
1551,2015,2,Baja California,2005,Playas de Rosarito,Violencia familiar,Violencia familiar,23,23.0,20.0,29.0,22.0,26.0,40.0,24.0,41.0,34.0,26.0,26.0
1649,2015,3,Baja California Sur,3001,Comondú,Violencia familiar,Violencia familiar,3,1.0,8.0,7.0,5.0,5.0,10.0,8.0,9.0,15.0,15.0,6.0
1747,2015,3,Baja California Sur,3002,Mulegé,Violencia familiar,Violencia familiar,2,8.0,10.0,6.0,2.0,8.0,6.0,10.0,3.0,13.0,4.0,1.0
1845,2015,3,Baja California Sur,3003,La Paz,Violencia familiar,Violencia familiar,47,45.0,58.0,63.0,44.0,66.0,46.0,43.0,64.0,48.0,52.0,46.0
1943,2015,3,Baja California Sur,3008,Los Cabos,Violencia familiar,Violencia familiar,68,65.0,89.0,65.0,64.0,60.0,77.0,61.0,84.0,62.0,92.0,89.0
2041,2015,3,Baja California Sur,3009,Loreto,Violencia familiar,Violencia familiar,3,0.0,5.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0
2139,2015,4,Campeche,4001,Calkiní,Violencia familiar,Violencia familiar,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2237,2015,4,Campeche,4002,Campeche,Violencia familiar,Violencia familiar,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2335,2015,4,Campeche,4003,Carmen,Violencia familiar,Violencia familiar,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2433,2015,4,Campeche,4004,Champotón,Violencia familiar,Violencia familiar,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2531,2015,4,Campeche,4005,Hecelchakán,Violencia familiar,Violencia familiar,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2629,2015,4,Campeche,4006,Hopelchén,Violencia familiar,Violencia familiar,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2727,2015,4,Campeche,4007,Palizada,Violencia familiar,Violencia familiar,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2825,2015,4,Campeche,4008,Tenabo,Violencia familiar,Violencia familiar,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2923,2015,4,Campeche,4009,Escárcega,Violencia familiar,Violencia familiar,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
